conversation_id,response
2570448_42_1,Yes
2570448_42_2,No
2580534_104_1,No
2580534_104_2,Yes
2580534_34_1,Yes
2580534_34_2,No
2850057_13_1,Yes
2850057_13_2,Yes
2850095_108_1,No
2850095_108_2,Yes
2850525_35_1,Yes
2850525_35_2,Yes
2856156_34_1,Yes
2856156_34_2,No
2856167_175_1,No
2856167_175_2,Yes
2856167_18_2,No
2856167_86_1,Yes
2856167_86_2,No
2856205_121_1,Yes
2856205_78_1,Yes
2856205_78_2,Yes
2856614_71_1,Yes
2856614_71_2,No
2879167_39_1,Yes
2879167_39_2,No
2879185_27_1,Yes
2879185_27_2,No
2879218_70_1,Yes
2879218_70_2,No
2879242_61_1,Yes
2879242_61_2,Yes
2894376_13_1,No
2894783_32_1,No
2894783_32_2,No
2894825_52_1,No
2894825_52_2,No
2894845_58_1,No
2894845_58_2,Yes
2894869_50_1,Yes
2894869_50_2,Yes
2894872_74_1,Yes
2894872_74_2,No
2895004_27_1,Yes
2895004_27_2,Yes
2895049_24_1,Yes
2895097_49_1,Yes
2895097_49_2,No
2895106_109_1,No
2898666_60_1,Yes
2898666_60_2,No
2898670_106_1,No
2898670_106_2,No
2898670_114_1,Yes
2898670_114_2,No
2898670_27_1,No
2898670_27_2,No
2898671_110_1,No
2898671_110_2,Yes
2898683_32_1,Yes
2898683_32_2,Yes
2898683_72_1,Yes
2898683_72_2,Yes
2898695_31_1,Yes
2898695_31_2,Yes
2898719_80_1,Yes
2898719_80_2,No
2898733_18_1,No
2898733_18_2,Yes
2898754_37_1,Yes
2898754_37_2,No
2900612_47_1,No
2900612_47_2,No
2900622_138_1,No
2900622_138_2,No
2900622_172_1,No
2900622_172_2,No
2900622_55_1,Yes
2900622_55_2,Yes
2900642_15_1,Yes
2900642_15_2,Yes
2900864_55_1,No
2900864_55_2,No
2900916_26_1,No
2900916_26_2,No
2900983_52_1,Yes
2900983_52_2,Yes
2901013_26_1,No
2901013_26_2,Yes
2901019_23_1,No
2913327_21_2,No
2915943_61_1,No
2915969_42_1,Yes
2915969_42_2,Yes
2915991_50_1,No
2916152_31_1,Yes
2916152_31_2,No
2916162_68_1,Yes
2916162_68_2,No
2916172_42_1,No
2916172_42_2,Yes
2916237_15_1,Yes
2916237_15_2,Yes
2916282_36_1,Yes
2916282_36_2,Yes
2916342_42_1,Yes
2916342_42_2,No
2916344_10_1,Yes
2916344_10_2,Yes
2916344_54_1,Yes
2916359_55_1,Yes
2916359_55_2,No
2916378_26_1,Yes
2916378_26_2,No
2916378_34_1,Yes
2916378_34_2,No
2916378_53_2,No
2916421_82_1,No
2916421_82_2,No
2925409_8_1,Yes
2925409_8_2,Yes
2927448_42_1,Yes
2927448_42_2,No
2927452_96_1,No
2927452_96_2,No
2927455_68_1,No
2927455_68_2,No
2927490_31_2,Yes
2927517_92_1,No
2927517_92_2,No
2927541_87_1,Yes
2927541_87_2,No
2927561_29_1,Yes
2927561_29_2,No
2927785_18_1,No
2927839_43_1,No
2927839_43_2,Yes
2927864_39_1,No
2927864_39_2,Yes
2927872_25_1,No
2927872_25_2,No
2928067_33_1,Yes
2928092_30_1,No
2928092_30_2,No
2928093_30_1,No
2928093_30_2,Yes
2928098_8_1,Yes
2928128_44_1,Yes
2928128_44_2,No
2928165_103_1,Yes
2928165_103_2,Yes
2928211_32_1,Yes
2928211_32_2,No
2928271_69_1,No
2928271_69_2,No
2928284_79_1,Yes
2928305_68_1,No
2928305_68_2,Yes
2928499_27_1,No
2928499_27_2,Yes
2928505_92_2,No
2928525_123_1,No
2928525_123_2,No
2928562_34_1,Yes
2928562_34_2,No
2928562_46_1,Yes
2928562_46_2,No
2928581_76_1,Yes
2928581_76_2,No
2928581_83_1,Yes
2928611_98_1,No
2928611_98_2,Yes
2928616_32_1,Yes
2928616_32_2,Yes
2928616_51_1,Yes
2928616_65_1,Yes
2928702_46_2,Yes
2928732_9_1,No
2928755_98_1,Yes
2928762_61_1,No
2928762_61_2,Yes
2928821_50_1,Yes
2928821_50_2,No
2928821_58_1,No
2928821_58_2,No
2928821_90_1,Yes
2928821_90_2,No
2939685_28_1,Yes
2939685_28_2,Yes
2939698_45_1,Yes
2939698_45_2,No
2939723_30_1,Yes
2939723_30_2,No
2939723_40_1,Yes
2939723_40_2,Yes
2939739_29_1,Yes
2939739_29_2,Yes
2939739_38_1,No
2939739_38_2,Yes
2939739_66_1,Yes
2939739_66_2,Yes
2939743_75_1,No
2939743_75_2,Yes
2939758_51_1,Yes
2939762_17_1,Yes
2939762_17_2,Yes
2939765_51_1,Yes
2939765_51_2,No
2939780_38_1,Yes
2939780_38_2,Yes
2945235_65_1,Yes
2945235_65_2,Yes
2948358_36_1,No
2948358_36_2,Yes
2948543_44_2,No
2948565_53_1,Yes
2948565_53_2,Yes
2948932_5_1,Yes
2948958_54_1,Yes
2948958_54_2,Yes
2948958_72_1,Yes
2948958_72_2,Yes
2949040_19_1,Yes
2949040_19_2,No
2949046_15_1,No
2949241_28_1,Yes
2949241_28_2,Yes
2949261_68_1,No
2949261_68_2,No
2949283_58_1,Yes
2949283_58_2,Yes
2949288_58_1,Yes
2949295_112_2,No
2949295_131_1,No
2949295_131_2,No
2949298_23_1,No
2949298_23_2,No
2949298_58_1,No
2949298_58_2,Yes
2949305_37_1,Yes
2949305_37_2,Yes
2949308_17_1,No
2949308_17_2,No
2949335_49_1,Yes
2949335_49_2,No
2949358_89_2,No
2949365_49_2,No
2949390_49_1,Yes
2949390_49_2,Yes
2949400_25_1,Yes
2949400_25_2,Yes
2950026_38_1,Yes
2950026_38_2,No
2950026_44_1,Yes
2950026_44_2,Yes
2950057_118_2,Yes
2950057_78_1,No
2950057_78_2,No
2950088_75_1,No
2950088_75_2,Yes
2950113_51_1,No
2950113_51_2,No
2950220_40_1,Yes
2950220_40_2,No
2950220_90_1,Yes
2950220_90_2,Yes
2950391_35_1,Yes
2950391_35_2,Yes
2950893_9_1,Yes
2950893_9_2,No
2951077_27_1,Yes
2951077_27_2,No
2951077_78_1,Yes
2951077_78_2,Yes
2951109_58_1,Yes
2951109_58_2,Yes
2951125_71_1,No
2951125_93_1,Yes
2951125_93_2,Yes
2951129_14_1,Yes
2951129_14_2,Yes
2961262_40_1,No
2961262_40_2,Yes
2962429_51_1,No
2962517_47_1,Yes
2962517_47_2,Yes
2962890_17_1,Yes
2962890_17_2,No
2962890_20_1,No
2962890_43_1,No
2962890_43_2,No
2963009_28_1,No
2963009_28_2,No
2963055_17_1,Yes
2963055_17_2,No
2963055_68_1,No
2963055_68_2,No
2963376_36_1,No
2963388_49_1,No
2963388_49_2,Yes
2963511_36_1,No
2963511_36_2,Yes
2963551_25_2,Yes
2963615_57_1,No
2963615_57_2,Yes
2963623_41_1,Yes
2963623_41_2,Yes
2963625_105_1,Yes
2963625_105_2,No
2963625_14_1,Yes
2963625_14_2,Yes
2963625_147_1,Yes
2963625_147_2,No
2963625_76_1,Yes
2963625_76_2,Yes
2963643_58_1,Yes
2963643_58_2,Yes
2963654_50_1,Yes
2963654_50_2,No
2963668_44_1,No
2963668_44_2,No
2963710_103_2,Yes
2963782_110_1,Yes
2963782_110_2,No
2963785_62_1,Yes
2963785_62_2,Yes
2963788_93_1,No
2963788_93_2,Yes
2963794_65_1,Yes
2963794_65_2,No
2963906_33_1,Yes
2963992_22_1,Yes
2963992_22_2,Yes
2963999_25_1,Yes
2963999_25_2,Yes
2964037_68_1,No
2964037_68_2,No
2964037_7_1,Yes
2964037_7_2,No
2964076_43_2,No
2964109_39_1,No
2964109_39_2,Yes
2964114_96_1,Yes
2964114_96_2,No
2976728_100_2,No
2979259_24_2,Yes
2979589_63_1,Yes
2979589_63_2,No
2979598_73_1,Yes
2979941_57_1,Yes
2979941_57_2,Yes
2979950_101_1,Yes
2979950_101_2,No
2979950_43_1,Yes
2979950_43_2,No
2979976_25_1,Yes
2979976_52_1,Yes
2979976_75_1,No
2979976_75_2,Yes
2979999_58_1,Yes
2980217_21_1,No
2980217_21_2,Yes
2980217_66_1,No
2980217_66_2,Yes
2980322_125_2,No
2980373_13_1,Yes
2980373_13_2,Yes
2982313_60_1,Yes
2989226_2_2,No
2989227_17_1,No
2989227_17_2,No
2989231_74_1,Yes
2989231_74_2,No
2989406_98_1,Yes
2989406_98_2,No
2989417_116_1,No
2989417_116_2,No
2989421_38_1,Yes
2989421_38_2,No
2989456_162_1,Yes
2989456_162_2,No
2989485_22_1,No
2989485_22_2,Yes
2989508_39_1,Yes
2989508_39_2,No
2989508_51_1,Yes
2989508_51_2,Yes
2990115_54_1,Yes
2990115_54_2,Yes
2990115_85_2,Yes
3978685_37_2,No
3981151_9_1,Yes
3981151_9_2,No
3981486_67_1,Yes
3981486_67_2,No
3981863_38_1,No
3981863_38_2,Yes
3982385_33_1,Yes
3982385_33_2,Yes
3982583_62_1,Yes
3982583_62_2,Yes
3983473_16_2,Yes
4012809_66_1,Yes
4012809_66_2,Yes
4012844_44_2,No
4013361_43_1,No
4013361_43_2,No
4013993_24_2,Yes
4014119_8_1,Yes
4014119_8_2,Yes
4014122_28_2,Yes
4014122_51_1,Yes
4014122_51_2,No
4014411_6_1,Yes
4014411_6_2,Yes
4014470_14_1,No
4014470_14_2,Yes
4015974_13_1,Yes
4015974_13_2,Yes
4016227_17_1,No
4016227_17_2,Yes
4017173_67_1,Yes
4017173_67_2,No
4052914_18_1,No
4052914_18_2,No
4053713_13_1,Yes
4053713_13_2,Yes
4054193_63_1,Yes
4054193_63_2,No
